表1

             湖南省2020年地方政府债务限额及余额决算情况表
                                                                                        单位：亿元
                           2020年债务限额                              2020年债务余额（决算数）
      地 区
                            一般债务            专项债务                         一般债务          专项债务
      公 式   A=B+C              B             C            D=E+F           E             F
                  17.63              10.61          7.02        17.58           10.56          7.02
县
 通道侗族自治县          25.07              18.61          6.46        25.07           18.61          6.46
 洪江区                 9.78             7.50          2.28           9.78          7.50          2.28
 洪江市              25.92              14.99         10.93        25.83           14.90         10.93
娄底市              407.28             294.45        112.83       388.74          281.92        106.82
 娄底市本级           159.72             101.53         58.19       159.47          101.28         58.18
 娄星区              19.94              14.62          5.32        19.84           14.52          5.32
 双峰县              45.95              35.72         10.23        45.95           35.72         10.23
 新化县              77.75              64.00         13.75        77.74           64.00         13.75
 冷水江市             52.23              40.33         11.90        34.06           28.16          5.89
  涟源市             51.68              38.23         13.45        51.68           38.23         13.45
 湘西土家族苗族自治
                 369.63             254.72        114.91       368.56          253.66        114.90
州
  湘西自治州本级         62.24              33.89         28.35        62.20           33.86         28.35
 吉首市              84.01              62.32         21.69        83.87           62.18         21.69
 泸溪县              28.87              19.16          9.71        28.76           19.05          9.71
 凤凰县              43.03              30.32         12.71        43.00           30.29         12.71
 花垣县              26.22              17.55          8.67        25.97           17.30          8.67
 保靖县              26.29              19.74          6.55        26.11           19.56          6.55
                           2020年债务限额                             2020年债务余额（决算数）
    地 区
                            一般债务           专项债务                      一般债务          专项债务
    公 式        A=B+C           B            C            D=E+F         E            F
 古丈县               19.42           12.76          6.66       19.32         12.67          6.66
 永顺县               43.09           34.23          8.86       42.97         34.11          8.86
 龙山县               36.45           24.75        11.70        36.35         24.65        11.70
注：1.本表反映上一年度本地区、本级及分地区地方政府债务限额及余额决算数。
2.本表由县级以上地方各级财政部门在同级人民代表大会常务委员会批准决算后二十日内公开。

