city_id,admin_code_6,city_name_cn,province_code,province_name,prefecture_type,sample_tier,metric_year,period_end,geo_scope,data_status,gdp_current_100m,gdp_real_growth_pct,resident_population_10k,general_public_revenue_100m,general_public_expenditure_100m,gov_fund_revenue_100m,general_debt_limit_100m,general_debt_balance_100m,special_debt_limit_100m,special_debt_balance_100m,statutory_debt_limit_100m,statutory_debt_balance_100m,debt_limit_utilization_pct,statutory_debt_to_gdp_pct,statutory_debt_to_revenue_pct,statutory_debt_to_general_revenue_pct,fiscal_self_sufficiency_pct,fund_revenue_dependence_pct,gov_fund_to_general_revenue_pct,gov_fund_source_status,source_doc_id,source_grade,collection_status,lineage_complete_flag,note
CN-350200,350200,厦门市,35,福建省,地级市,core,2022,2022-12-31,prefecture_whole,preliminary,7803.00,4.40,530.80,883.81,1088.74,1003.10,,374.46,,1393.31,302.00,1767.77,585.35,22.66,200.02,200.02,81.18,53.16,113.50,城市财政局官方预算执行报告（全市口径）,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-CELMA-API-DEBT-3502-2022;SRC-B2-HONGHEIKU-CITY-BULLETIN-CN-350200-2022;SRC-A1-CELMA-CITY-ANNUAL-3502;SRC-D-DACHUANG-CITY-PANEL-2015-2024,A1,extracted,true,已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。；已接入2022年厦门市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
CN-350300,350300,莆田市,35,福建省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,3116.00,4.03,319.90,151.05,276.94,,,,,,,1109.15,,35.60,734.29,734.29,54.54,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-FUJIAN-PUTIAN-2024;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-350400,350400,三明市,35,福建省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,3110.00,3.10,245.50,111.35,349.57,,,,,,,775.53,,24.94,696.48,696.48,31.85,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-FUJIAN-SANMING-2024;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-350500,350500,泉州市,35,福建省,地级市,core,2022,2022-12-31,prefecture_whole,preliminary,12102.97,3.50,887.90,526.79,807.45,,,,,,,2112.52,,17.45,401.02,401.02,65.24,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-OFFICIAL-DEBT-FUJIAN-QUANZHOU-2022;SRC-B2-HONGHEIKU-CITY-BULLETIN-CN-350500-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,extracted,true,已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。；已接入2022年泉州市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
CN-350600,350600,漳州市,35,福建省,地级市,core,2022,2022-12-31,prefecture_whole,preliminary,5706.58,6.90,506.80,250.60,499.11,,,,,,,1100.61,,19.29,439.19,439.19,50.21,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-FUJIAN-ZHANGZHOU-2024;SRC-B2-HONGHEIKU-CITY-BULLETIN-CN-350600-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,extracted,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。；已接入2022年漳州市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
CN-350700,350700,南平市,35,福建省,地级市,core,2022,2022-12-31,prefecture_whole,preliminary,2211.84,3.80,265.10,104.06,344.31,,,,,,,734.80,,33.22,706.13,706.13,30.22,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-DEBT-FUJIAN-NANPING-2022;SRC-B2-HONGHEIKU-CITY-BULLETIN-CN-350700-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,extracted,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。；已接入2022年南平市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
CN-350800,350800,龙岩市,35,福建省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,3314.00,4.97,271.60,165.46,361.42,,,,,,,980.84,,29.60,592.80,592.80,45.78,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-FUJIAN-LONGYAN-2023;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-350900,350900,宁德市,35,福建省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,3555.00,10.65,315.60,167.45,372.25,,,264.98,,548.10,,813.08,,22.87,485.57,485.57,44.98,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-DEBT-FUJIAN-NINGDE-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-360100,360100,南昌市,36,江西省,地级市,core,2022,2022-12-31,prefecture_whole,official_debt,7204.00,4.10,653.81,457.68,939.04,,541.25,498.09,1066.67,983.65,1607.92,1481.74,92.15,20.57,323.75,323.75,48.74,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-CITY-DEBT-JIANGXI-NANCHANG-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,A1,needs_review,true,已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-360200,360200,景德镇市,36,江西省,地级市,core,2022,2022-12-31,prefecture_whole,preliminary,1192.19,4.70,162.18,94.00,247.50,,,162.35,,305.62,,467.97,,39.25,497.84,497.84,37.98,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-DEBT-JIANGXI-JINGDEZHEN-2022;SRC-B2-HONGHEIKU-CITY-BULLETIN-CN-360200-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,extracted,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。；已接入2022年景德镇市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
