record_id,city_id,metric_year,period_end,geo_scope,general_debt_limit_100m,general_debt_balance_100m,special_debt_limit_100m,special_debt_balance_100m,statutory_debt_limit_100m,statutory_debt_balance_100m,data_status,source_doc_id,source_grade,collection_status,lineage_complete_flag,note
DEBT-CN-330600-2025-PREFECTURE,CN-330600,2025,2025-12-31,prefecture_whole,,,,,,2592.42,secondary_debt,SRC-SECONDARY-DEBT-ZHEJIANG-SHAOXING-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-330700-2025-PREFECTURE,CN-330700,2025,2025-12-31,prefecture_whole,,,,,,2678.09,secondary_debt,SRC-SECONDARY-DEBT-ZHEJIANG-JINHUA-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-330800-2025-PREFECTURE,CN-330800,2025,2025-12-31,prefecture_whole,,,,,,1365.78,secondary_debt,SRC-SECONDARY-DEBT-ZHEJIANG-QUZHOU-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-330900-2025-PREFECTURE,CN-330900,2025,2025-12-31,prefecture_whole,,,,,,778.05,secondary_debt,SRC-SECONDARY-DEBT-ZHEJIANG-ZHOUSHAN-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-331000-2025-PREFECTURE,CN-331000,2025,2025-12-31,prefecture_whole,,,,,,2846.47,secondary_debt,SRC-SECONDARY-DEBT-ZHEJIANG-TAIZHOU-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-331100-2025-PREFECTURE,CN-331100,2025,2025-12-31,prefecture_whole,,,,,,1638.64,secondary_debt,SRC-SECONDARY-CEIC-CN-331100,D,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-340100-2025-PREFECTURE,CN-340100,2025,2025-12-31,prefecture_whole,,,,,,3194.76,secondary_debt,SRC-CITY-DEBT-ANHUI-HEFEI-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-340200-2025-PREFECTURE,CN-340200,2025,2025-12-31,prefecture_whole,,,,,,1710.90,secondary_debt,SRC-SECONDARY-DEBT-ANHUI-WUHU-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-340300-2025-PREFECTURE,CN-340300,2025,2025-12-31,prefecture_whole,,,,,,1049.13,secondary_debt,SRC-SECONDARY-DEBT-ANHUI-BENGBU-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-340400-2025-PREFECTURE,CN-340400,2025,2025-12-31,prefecture_whole,,,,,,782.70,official_debt,SRC-CITY-DEBT-ANHUI-HUAINAN-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-340500-2025-PREFECTURE,CN-340500,2025,2025-12-31,prefecture_whole,,,,,,1118.46,secondary_debt,SRC-CITY-DEBT-ANHUI-MAANSHAN-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-340600-2025-PREFECTURE,CN-340600,2025,2025-12-31,prefecture_whole,112.67,108.53,448.05,447.59,560.72,556.12,official_debt,SRC-CITY-DEBT-ANHUI-HUAIBEI-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-340700-2025-PREFECTURE,CN-340700,2025,2025-12-31,prefecture_whole,,,,,,576.02,secondary_debt,SRC-SECONDARY-DEBT-ANHUI-TONGLING-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-340800-2025-PREFECTURE,CN-340800,2025,2025-12-31,prefecture_whole,,,,,,1364.40,secondary_debt,SRC-CITY-DEBT-ANHUI-ANQING-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-341000-2025-PREFECTURE,CN-341000,2025,2025-12-31,prefecture_whole,,150.74,,419.30,,570.00,official_debt,SRC-CITY-DEBT-ANHUI-HUANGSHAN-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-341100-2025-PREFECTURE,CN-341100,2025,2025-12-31,prefecture_whole,,266.17,,1575.71,,1841.89,secondary_debt,SRC-CITY-DEBT-ANHUI-CHUZHOU-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-341200-2025-PREFECTURE,CN-341200,2025,2025-12-31,prefecture_whole,,,,,,2052.83,secondary_debt,SRC-SECONDARY-DEBT-ANHUI-FUYANG-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-341300-2025-PREFECTURE,CN-341300,2025,2025-12-31,prefecture_whole,,,,,,1111.22,secondary_debt,SRC-SECONDARY-DEBT-ANHUI-SUZHOU-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-341500-2025-PREFECTURE,CN-341500,2025,2025-12-31,prefecture_whole,,308.00,,1111.00,,1418.81,secondary_debt,SRC-CITY-DEBT-ANHUI-LUAN-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-341600-2025-PREFECTURE,CN-341600,2025,2025-12-31,prefecture_whole,,,,,,1217.60,secondary_debt,SRC-SECONDARY-DEBT-ANHUI-BOZHOU-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-341700-2025-PREFECTURE,CN-341700,2025,2025-12-31,prefecture_whole,,,,,,500.19,secondary_debt,SRC-SECONDARY-DEBT-ANHUI-CHIZHOU-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-341800-2025-PREFECTURE,CN-341800,2025,2025-12-31,prefecture_whole,,,,,,921.50,official_debt,SRC-CITY-DEBT-ANHUI-XUANCHENG-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-350100-2025-PREFECTURE,CN-350100,2025,2025-12-31,prefecture_whole,575.30,558.31,2839.57,2791.29,3414.87,3349.60,official_debt,SRC-PROVINCE-DEBT-FUJIAN-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-350200-2025-PREFECTURE,CN-350200,2025,2025-12-31,prefecture_whole,455.70,450.82,2814.40,2746.87,3270.10,3197.69,official_debt,SRC-PROVINCE-DEBT-FUJIAN-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-350300-2025-PREFECTURE,CN-350300,2025,2025-12-31,prefecture_whole,242.16,232.04,1236.07,1222.74,1478.23,1454.78,official_debt,SRC-PROVINCE-DEBT-FUJIAN-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
