city_id,city_name_cn,metric_year,statutory_debt_balance_100m,raw_value_million_rmb,value_origin,source_doc_id,source_url,evidence_excerpt,source_grade
CN-510700,绵阳市,2024,1297.00000,129700.000,disclosed,SRC-SECONDARY-CEIC-CN-510700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-mianyang,CEIC图表：2024年=129700.000百万人民币,D
CN-510800,广元市,2018,289.00000,28900.000,disclosed,SRC-SECONDARY-CEIC-CN-510800,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangyuan,CEIC图表：2018年=28900.000百万人民币,D
CN-510800,广元市,2019,316.00000,31600.000,disclosed,SRC-SECONDARY-CEIC-CN-510800,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangyuan,CEIC图表：2019年=31600.000百万人民币,D
CN-510800,广元市,2020,366.00000,36600.000,disclosed,SRC-SECONDARY-CEIC-CN-510800,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangyuan,CEIC图表：2020年=36600.000百万人民币,D
CN-510800,广元市,2021,415.10000,41510.000,disclosed,SRC-SECONDARY-CEIC-CN-510800,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangyuan,CEIC图表：2021年=41510.000百万人民币,D
CN-510800,广元市,2022,483.30000,48330.000,disclosed,SRC-SECONDARY-CEIC-CN-510800,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangyuan,CEIC图表：2022年=48330.000百万人民币,D
CN-510800,广元市,2023,552.00000,55200.000,disclosed,SRC-SECONDARY-CEIC-CN-510800,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangyuan,CEIC图表：2023年=55200.000百万人民币,D
CN-510800,广元市,2024,659.40000,65940.000,disclosed,SRC-SECONDARY-CEIC-CN-510800,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangyuan,CEIC图表：2024年=65940.000百万人民币,D
CN-510900,遂宁市,2018,284.00000,28400.000,disclosed,SRC-SECONDARY-CEIC-CN-510900,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-suining,CEIC图表：2018年=28400.000百万人民币,D
CN-510900,遂宁市,2019,317.00000,31700.000,disclosed,SRC-SECONDARY-CEIC-CN-510900,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-suining,CEIC图表：2019年=31700.000百万人民币,D
CN-510900,遂宁市,2020,386.00000,38600.000,disclosed,SRC-SECONDARY-CEIC-CN-510900,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-suining,CEIC图表：2020年=38600.000百万人民币,D
CN-510900,遂宁市,2021,499.50000,49950.000,disclosed,SRC-SECONDARY-CEIC-CN-510900,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-suining,CEIC图表：2021年=49950.000百万人民币,D
CN-510900,遂宁市,2022,606.70000,60670.000,disclosed,SRC-SECONDARY-CEIC-CN-510900,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-suining,CEIC图表：2022年=60670.000百万人民币,D
CN-510900,遂宁市,2023,755.40000,75540.000,disclosed,SRC-SECONDARY-CEIC-CN-510900,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-suining,CEIC图表：2023年=75540.000百万人民币,D
CN-510900,遂宁市,2024,896.90000,89690.000,disclosed,SRC-SECONDARY-CEIC-CN-510900,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-suining,CEIC图表：2024年=89690.000百万人民币,D
CN-511100,乐山市,2018,313.00000,31300.000,calculated,SRC-SECONDARY-CEIC-CN-511100,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-leshan;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-leshan,CEIC一般+专项分项：一般=19900.000，专项=11400.000百万人民币；合计为计算值,D
CN-511100,乐山市,2019,382.00000,38200.000,calculated,SRC-SECONDARY-CEIC-CN-511100,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-leshan;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-leshan,CEIC一般+专项分项：一般=22900.000，专项=15300.000百万人民币；合计为计算值,D
CN-511100,乐山市,2020,443.00000,44300.000,calculated,SRC-SECONDARY-CEIC-CN-511100,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-leshan;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-leshan,CEIC一般+专项分项：一般=21200.000，专项=23100.000百万人民币；合计为计算值,D
CN-511100,乐山市,2021,557.90000,55790.000,calculated,SRC-SECONDARY-CEIC-CN-511100,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-leshan;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-leshan,CEIC一般+专项分项：一般=21850.000，专项=33940.000百万人民币；合计为计算值,D
CN-511100,乐山市,2022,642.60000,64260.000,calculated,SRC-SECONDARY-CEIC-CN-511100,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-leshan;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-leshan,CEIC一般+专项分项：一般=21920.000，专项=42340.000百万人民币；合计为计算值,D
CN-511100,乐山市,2023,747.90000,74790.000,calculated,SRC-SECONDARY-CEIC-CN-511100,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-leshan;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-leshan,CEIC一般+专项分项：一般=23460.000，专项=51330.000百万人民币；合计为计算值,D
CN-511100,乐山市,2024,919.50000,91950.000,calculated,SRC-SECONDARY-CEIC-CN-511100,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-leshan;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-leshan,CEIC一般+专项分项：一般=25170.000，专项=66780.000百万人民币；合计为计算值,D
CN-511300,南充市,2018,668.00000,66800.000,calculated,SRC-SECONDARY-CEIC-CN-511300,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-nanchong;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-nanchong,CEIC一般+专项分项：一般=33400.000，专项=33400.000百万人民币；合计为计算值,D
CN-511300,南充市,2019,744.00000,74400.000,calculated,SRC-SECONDARY-CEIC-CN-511300,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-nanchong;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-nanchong,CEIC一般+专项分项：一般=37100.000，专项=37300.000百万人民币；合计为计算值,D
CN-511300,南充市,2020,793.00000,79300.000,calculated,SRC-SECONDARY-CEIC-CN-511300,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-nanchong;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-nanchong,CEIC一般+专项分项：一般=34800.000，专项=44500.000百万人民币；合计为计算值,D
CN-511300,南充市,2021,886.30000,88630.000,calculated,SRC-SECONDARY-CEIC-CN-511300,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-nanchong;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-nanchong,CEIC一般+专项分项：一般=35720.000，专项=52910.000百万人民币；合计为计算值,D
CN-511300,南充市,2022,986.70000,98670.000,calculated,SRC-SECONDARY-CEIC-CN-511300,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-nanchong;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-nanchong,CEIC一般+专项分项：一般=35980.000，专项=62690.000百万人民币；合计为计算值,D
CN-511300,南充市,2023,1111.00000,111100.000,calculated,SRC-SECONDARY-CEIC-CN-511300,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-nanchong;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-nanchong,CEIC一般+专项分项：一般=37930.000，专项=73170.000百万人民币；合计为计算值,D
CN-511300,南充市,2024,1311.70000,131170.000,calculated,SRC-SECONDARY-CEIC-CN-511300,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-nanchong;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-nanchong,CEIC一般+专项分项：一般=41230.000，专项=89940.000百万人民币；合计为计算值,D
CN-511500,宜宾市,2018,401.00000,40100.000,calculated,SRC-SECONDARY-CEIC-CN-511500,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-yibin;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-yibin,CEIC一般+专项分项：一般=22800.000，专项=17300.000百万人民币；合计为计算值,D
